frame_number,track_id,class_name,speed_kph,pixel_distance_per_frame
598,151,bus,7.49,1.0
598,215,car,180.4,24.08
599,152,car,154.43,20.62
599,164,car,7.49,1.0
599,193,car,10.59,1.41
599,205,car,54.02,7.21
599,151,bus,10.59,1.41
599,215,car,180.4,24.08
600,152,car,244.58,32.65
600,164,car,14.98,2.0
600,193,car,27.01,3.61
600,205,car,27.01,3.61
600,151,bus,10.59,1.41
600,215,car,154.43,20.62
601,152,car,251.81,33.62
601,164,car,21.19,2.83
601,193,car,33.5,4.47
601,205,car,52.97,7.07
601,151,bus,7.49,1.0
601,215,car,166.33,22.2
602,164,car,0.0,0.0
602,193,car,33.5,4.47
602,205,car,47.97,6.4
602,151,bus,10.59,1.41
602,215,car,138.13,18.44
603,164,car,10.59,1.41
603,193,car,27.01,3.61
603,205,car,37.45,5.0
603,151,bus,0.0,0.0
603,215,car,127.57,17.03
604,164,car,14.98,2.0
604,193,car,22.47,3.0
604,205,car,43.68,5.83
604,151,truck,21.19,2.83
604,215,car,132.53,17.69
605,164,car,7.49,1.0
605,193,car,10.59,1.41
605,205,car,37.45,5.0
605,151,truck,10.59,1.41
605,215,car,112.36,15.0
606,164,car,0.0,0.0
606,193,car,21.19,2.83
606,205,car,40.34,5.39
606,151,truck,10.59,1.41
606,215,car,95.93,12.81
607,164,car,10.59,1.41
607,193,car,16.75,2.24
607,205,car,31.78,4.24
607,151,truck,7.49,1.0
607,215,car,101.89,13.6
608,164,car,7.49,1.0
608,193,car,21.19,2.83
608,205,car,40.34,5.39
608,151,truck,7.49,1.0
608,215,car,91.44,12.21
609,164,car,7.49,1.0
609,193,car,27.01,3.61
609,205,car,21.19,2.83
609,151,truck,7.49,1.0
609,215,car,85.41,11.4
610,164,car,10.59,1.41
610,193,car,14.98,2.0
610,205,car,27.01,3.61
610,151,truck,7.49,1.0
610,215,car,100.78,13.45
611,164,car,7.49,1.0
611,193,car,22.47,3.0
611,205,car,33.5,4.47
611,215,car,69.06,9.22
611,231,car,121.94,16.28
612,164,car,23.69,3.16
612,193,car,10.59,1.41
612,205,car,16.75,2.24
612,215,car,73.78,9.85
612,231,car,170.82,22.8
612,151,bus,7.49,1.0
613,164,car,0.0,0.0
613,193,car,16.75,2.24
613,205,car,30.89,4.12
613,215,car,64.44,8.6
613,231,car,197.91,26.42
613,151,bus,7.49,1.0
614,164,car,0.0,0.0
614,193,car,16.75,2.24
614,205,car,21.19,2.83
614,215,car,69.06,9.22
614,231,car,164.46,21.95
614,151,bus,7.49,1.0
615,164,car,7.49,1.0
615,193,car,7.49,1.0
